SPEEDLIMIT,SURFACEWIDTH,AWDT_ROUNDED,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_child,severity
20.0,0.0,3900,0,0,0,0,0,0,1,0,0,2
25.0,120.0,42600,0,0,1,0,0,0,1,0,0,1
25.0,120.0,8300,0,0,1,0,0,0,1,0,0,3
25.0,120.0,8300,0,0,1,0,0,0,1,0,0,2
25.0,120.0,42600,0,0,1,0,0,0,1,0,0,3
25.0,120.0,42600,0,0,1,0,0,0,1,0,0,2
25.0,38.0,2500,0,0,0,0,0,0,0,0,0,3
25.0,38.0,2500,0,0,0,0,0,0,0,0,0,2
25.0,38.0,2500,0,0,0,0,0,0,1,0,0,3
25.0,44.0,20000,0,0,1,0,1,1,0,0,0,3
35.0,48.0,7400,0,0,1,0,1,1,1,0,0,3
25.0,44.0,20000,0,0,1,0,1,1,1,0,0,3
30.0,42.0,17200,0,0,1,0,1,1,1,0,0,3
30.0,46.0,17200,0,0,1,0,1,1,1,0,0,3
25.0,50.0,12000,0,0,1,0,1,0,1,0,0,3
25.0,50.0,12000,0,0,1,0,1,0,1,0,0,2
25.0,50.0,12000,0,0,1,0,1,0,0,0,0,3
25.0,44.0,13300,0,0,1,0,1,0,1,0,0,2
25.0,44.0,13300,0,0,1,0,1,0,1,0,0,3
25.0,47.0,9500,0,0,1,0,1,0,1,0,0,3
25.0,47.0,15300,0,0,1,0,1,0,0,0,0,2
25.0,47.0,15300,0,0,1,0,1,0,1,0,0,2
25.0,47.0,15300,0,0,1,0,1,0,1,0,0,2
25.0,47.0,9500,0,0,1,0,1,0,1,0,0,3
25.0,41.0,3900,1,0,0,0,0,0,1,0,0,2
25.0,42.0,3500,1,0,1,0,0,0,1,0,0,3
20.0,0.0,11300,0,0,0,0,0,0,1,0,0,2
25.0,25.0,2000,0,0,0,0,0,0,1,0,0,2
25.0,28.0,2100,0,0,1,0,0,0,1,0,0,3
25.0,28.0,2100,0,0,1,0,0,0,1,0,0,3
25.0,39.0,9100,0,0,1,0,1,1,1,1,0,2
25.0,39.0,9100,0,0,1,0,1,1,1,0,0,3
25.0,41.0,3900,1,0,0,0,0,0,1,0,0,3
30.0,23.0,25200,1,0,1,0,0,0,1,1,0,3
25.0,39.0,12200,0,0,1,0,1,0,1,0,0,2
25.0,66.0,12200,0,0,1,0,1,0,1,0,0,4
25.0,66.0,12200,0,0,1,0,1,0,1,0,0,3
25.0,39.0,12200,0,0,1,0,1,0,1,0,0,3
20.0,39.0,12200,0,0,1,0,1,0,1,1,0,3
25.0,42.0,9000,1,1,0,0,1,0,1,0,0,2
25.0,54.0,13300,0,0,1,0,1,0,1,0,0,2
30.0,44.0,20800,0,0,0,0,1,0,1,0,0,3
25.0,43.0,3900,0,0,0,0,1,0,1,0,0,3
25.0,38.0,4900,0,0,1,0,1,0,1,1,0,3
25.0,10.0,11600,0,0,0,0,1,0,1,0,0,2
25.0,52.0,11600,0,0,0,0,1,0,1,0,0,3
20.0,25.0,15400,0,0,1,0,1,0,1,0,0,2
25.0,22.0,7900,0,1,0,0,0,0,0,0,0,2
