line_i,REPORT NUMBER,DATETIME,geometry,line_geo,SPEEDLIMIT,SURFACEWIDTH,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
8946.0,3736664,2017-09-14 20:03:00,POINT (-122.3477460771284 47.72635733365441),"LINESTRING (-122.3481952986375 47.72321837751051, -122.3477672686346 47.72619015224425, -122.347753784042 47.72629045225323, -122.3477458533197 47.72635927588983, -122.3477422120135 47.7263908653221, -122.3477325533885 47.72649136634557, -122.347724807264 47.72659194182366, -122.3477189790076 47.72669257922592, -122.3477150638311 47.72679325668033, -122.3477135076503 47.7268612714219)",25.0,65.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2
6557.0,3769621,2017-01-30 16:12:00,POINT (-122.3477698980232 47.73151747520349),"LINESTRING (-122.3477641129455 47.73103975083586, -122.3477641783031 47.73104523679061, -122.3477795476589 47.73231418003688)",25.0,65.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
22091.0,3767482,2018-09-27 06:32:00,POINT (-122.3477140695872 47.72690754806921),"LINESTRING (-122.3477135076503 47.7268612714219, -122.3477135803906 47.72686710000885, -122.3477145048556 47.72694353719697, -122.3477164297904 47.72710245877447, -122.3477235165181 47.72768786136525, -122.3477245132134 47.72777016206577)",25.0,65.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
22091.0,E727885,2017-10-27 17:05:00,POINT (-122.3477140695872 47.72690754806921),"LINESTRING (-122.3477135076503 47.7268612714219, -122.3477135803906 47.72686710000885, -122.3477145048556 47.72694353719697, -122.3477164297904 47.72710245877447, -122.3477235165181 47.72768786136525, -122.3477245132134 47.72777016206577)",25.0,65.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
22091.0,E924063,2019-05-22 18:44:00,POINT (-122.3477140695872 47.72690754806921),"LINESTRING (-122.3477135076503 47.7268612714219, -122.3477135803906 47.72686710000885, -122.3477145048556 47.72694353719697, -122.3477164297904 47.72710245877447, -122.3477235165181 47.72768786136525, -122.3477245132134 47.72777016206577)",25.0,65.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
19227.0,E951611,2019-08-19 07:16:00,POINT (-122.3477351676754 47.72864991452026),"LINESTRING (-122.3477245132134 47.72777016206577, -122.3477255067554 47.72785240805539, -122.3477348557768 47.72862419358857, -122.3477355206627 47.7286790238614)",25.0,65.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2
19227.0,E690469,2017-07-11 17:15:00,POINT (-122.3477351676754 47.72864991452026),"LINESTRING (-122.3477245132134 47.72777016206577, -122.3477255067554 47.72785240805539, -122.3477348557768 47.72862419358857, -122.3477355206627 47.7286790238614)",25.0,65.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
15433.0,E940623,2019-07-16 10:10:00,POINT (-122.3463609404101 47.68256911757443),"LINESTRING (-122.3463839974687 47.68256916957605, -122.3449584385514 47.68256595444917)",20.0,25.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
11432.0,3854844,2020-07-30 16:07:00,POINT (-122.3472136259406 47.69057080737689),"LINESTRING (-122.3499119335478 47.6905789828173, -122.3472198360249 47.69057082597864, -122.347207126599 47.6905707879087)",25.0,37.0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,3
6574.0,3820710,2019-09-06 17:17:00,POINT (-122.3364019970824 47.60462656265532),"LINESTRING (-122.3368279458296 47.60444821923622, -122.3365461111371 47.60456622245674, -122.3362384325599 47.60469504671671)",25.0,41.0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3
11095.0,E907983,2019-04-03 19:00:00,POINT (-122.3329264199464 47.60610677789137),"LINESTRING (-122.3329091036257 47.6060878576441, -122.3335048779449 47.60673881563788, -122.3335620486042 47.60680128725212)",25.0,50.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,3
11262.0,3813253,2019-03-28 10:55:00,POINT (-122.3373637302106 47.60422394154705),"LINESTRING (-122.3380759344053 47.60392419351039, -122.3373486883834 47.60423027225697)",25.0,41.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2
9899.0,E704429,2017-08-23 16:41:00,POINT (-122.2828043234248 47.61376597820584),"LINESTRING (-122.2825345238569 47.61341727993299, -122.2825363003228 47.6134208223164, -122.2825594602715 47.61346250161845, -122.2825846118811 47.61350365190507, -122.2826117232579 47.6135442274284, -122.2826407717003 47.61358418635932, -122.2826717240996 47.61362348594852, -122.2827045463582 47.61366208521392, -122.2828054388697 47.61376713966418, -122.2828324178644 47.61379607698396, -122.2828582734405 47.61382548101175, -122.2828829896701 47.61385532966455, -122.2829065454553 47.61388560162691, -122.2834120426586 47.61456830002909, -122.2839134065127 47.61523522330879, -122.2846124720441 47.61616510348946)",25.0,42.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3
12114.0,EA05630,2020-01-21 12:00:00,POINT (-122.3323520382636 47.6053343500102),"LINESTRING (-122.333366405528 47.6049105227403, -122.3322565559347 47.60537424484534)",25.0,42.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2
15397.0,E942518,2019-07-19 16:00:00,POINT (-122.337194465248 47.60330896015216),"LINESTRING (-122.3374179853253 47.60321531229296, -122.3366965359944 47.60351757679721)",25.0,42.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
12771.0,EA21287,2020-03-03 11:58:00,POINT (-122.3300967392104 47.60627806805218),"LINESTRING (-122.3311460816738 47.60583916319759, -122.330038975667 47.60630222861036)",25.0,42.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1
6563.0,E660695,2017-04-11 11:48:00,POINT (-122.2961635003826 47.61575597784444),"LINESTRING (-122.2961688290297 47.61528669389126, -122.2961686605187 47.61530134062482, -122.2961555705649 47.61645463970391)",25.0,36.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3
9897.0,3771988,2017-02-13 08:08:00,POINT (-122.2961421455616 47.61763090121243),"LINESTRING (-122.2961423144053 47.61762259632574, -122.2961404902703 47.61771231978261, -122.2961163334847 47.61889933133435)",25.0,36.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
3935.0,E939179,2019-06-23 16:30:00,POINT (-122.296739222933 47.60617268412048),"LINESTRING (-122.2967885244071 47.60617275576552, -122.2958529276564 47.60617139615373)",20.0,24.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
11260.0,3702522,2018-03-14 14:22:00,POINT (-122.2963844679321 47.62322313921875),"LINESTRING (-122.2962128961519 47.62281581408419, -122.2962548725015 47.62291547270971, -122.2962798872662 47.62297486308761, -122.2963712643603 47.62319179990687, -122.296382177595 47.62321770206913, -122.2964241057014 47.62331723736593)",25.0,36.0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2
2232.0,E987128,2019-11-25 11:41:00,POINT (-122.2863415817125 47.54753834543405),"LINESTRING (-122.2865420914361 47.54797063585689, -122.2862994648158 47.54744754319881, -122.2856311110469 47.54605724602504)",25.0,44.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3
13945.0,3289397,2019-05-26 17:26:00,POINT (-122.2847620661516 47.54456561030462),"LINESTRING (-122.2847861850095 47.54461315126755, -122.2844262782926 47.54390373492571)",25.0,44.0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,3
11572.0,3329446,2018-06-22 19:00:00,POINT (-122.2970128804196 47.58125939326188),"LINESTRING (-122.3001667979428 47.58099443872218, -122.2979262907523 47.5809804222403, -122.2977108406669 47.58101982755858, -122.2969907133715 47.5812670018105)",20.0,36.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
11572.0,3810941,2018-09-01 18:38:00,POINT (-122.2970128804196 47.58125939326188),"LINESTRING (-122.3001667979428 47.58099443872218, -122.2979262907523 47.5809804222403, -122.2977108406669 47.58101982755858, -122.2969907133715 47.5812670018105)",20.0,36.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3
14646.0,E712153,2017-09-06 18:53:00,POINT (-122.2948044059009 47.5628089451469),"LINESTRING (-122.2957922443954 47.56241993821521, -122.2947572271699 47.56282752394647)",25.0,33.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
12291.0,3579039,2017-10-25 14:51:00,POINT (-122.2922010831146 47.55867031698227),"LINESTRING (-122.2933033341733 47.55867488552735, -122.292119380238 47.55866997834501)",20.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3
16150.0,3803368,2019-12-24 12:31:00,POINT (-122.2789254604634 47.51337735424276),"LINESTRING (-122.2789329657306 47.51342478976822, -122.2788928816698 47.51317144655923, -122.2787797532509 47.5122486427661, -122.2787081395662 47.51150856121858, -122.2786594092952 47.51105072102731, -122.2785647336843 47.50986138836325)",25.0,44.0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3
4943.0,3814897,2019-04-01 07:28:00,POINT (-122.2812735058578 47.53704333371078),"LINESTRING (-122.2812931906889 47.53704230420308, -122.2811872787017 47.53704784335174, -122.2811041509604 47.53705158677938)",25.0,41.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3
