REPORT NUMBER,PRIMARY TRAFFICWAY,INTERSECTING TRAFFICWAY,DATETIME,LONGITUDE,LATITUDE,is_dry,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
E932366,4TH AVE,COLUMBIA ST,2019-06-17 12:14:00,-122.33161725541154,47.60468879782486,1,1,0,0,0,0,0,0,0,0,3
3746207,4TH AVE,COLUMBIA ST,2017-07-11 18:03:00,-122.33161725541154,47.60468879782486,1,1,0,0,0,0,1,0,0,0,2
E863402,4TH AVE S,,2018-11-11 09:43:00,-122.3290917562458,47.577778427841075,1,1,0,0,0,0,0,0,0,0,3
3708521,4TH AVE S,,2018-07-16 13:36:00,-122.32909699868591,47.57431891103575,1,1,0,0,0,0,0,0,0,0,2
E783315,4TH AVE S,,2018-03-20 08:22:00,-122.32904485172922,47.599583032734685,1,1,0,0,0,0,0,0,0,0,2
3818851,4TH AVE S,,2018-06-11 22:04:00,-122.32909125245568,47.58334789280091,1,0,0,1,0,0,0,0,1,0,1
E858715,4TH AVE S,S HORTON ST,2018-11-06 13:00:00,-122.32909802968435,47.57438681459422,1,1,0,0,0,0,0,0,0,0,3
E885579,4TH AVE S,S SPOKANE ST,2019-01-22 07:49:00,-122.32919688796771,47.57171157591097,1,1,0,0,0,0,0,0,0,0,3
3753606,4TH AVE S,S WASHINGTON ST,2018-08-03 19:28:00,-122.32897124030737,47.60088481925043,1,1,0,0,0,0,0,0,0,0,2
E957023,51ST AVE S,,2019-08-29 09:34:00,-122.27004244828596,47.51454802332117,1,1,0,0,0,0,0,0,0,0,3
3751052,52ND AVE NE,NE 75TH ST,2018-05-15 08:08:00,-122.27169756104146,47.683036130931775,1,1,0,0,0,0,0,0,0,0,3
E810033,5TH AVE,,2018-06-19 11:32:00,-122.32896350997223,47.60336889960497,1,1,0,0,0,0,0,0,0,0,2
3756036,5TH AVE,,2018-10-11 17:14:00,-122.33256195959812,47.607395420517314,1,1,0,0,0,0,0,0,0,0,3
EA20912,5TH AVE,,2020-03-04 07:08:00,-122.33396115390148,47.60893072664651,1,1,0,0,1,0,0,0,0,0,3
3812287,5TH AVE,BLANCHARD ST,2018-07-24 22:11:00,-122.34185169040076,47.61523544198423,1,0,0,0,0,0,0,0,0,0,3
E977303,5TH AVE,JAMES ST,2019-10-30 11:08:00,-122.32922515729615,47.6036557461713,1,1,1,0,0,0,0,0,0,1,2
3852444,5TH AVE,PIKE ST,2020-05-19 17:32:00,-122.33555968971032,47.610691257333265,1,1,1,0,0,0,0,0,0,0,2
E698465,5TH AVE,PIKE ST,2017-07-14 23:22:00,-122.33555969065371,47.61069128473814,1,0,0,0,0,0,0,0,1,0,1
3796015,5TH AVE,UNION ST,2019-03-21 13:33:00,-122.33467923836123,47.60970980451435,1,1,0,0,0,0,0,0,0,0,3
3746652,5TH AVE N,,2017-12-10 13:43:00,-122.34771349771322,47.63516192589911,1,1,0,0,0,0,0,0,0,0,2
E910106,5TH AVE N,HARRISON ST,2019-04-10 08:19:00,-122.34759657878753,47.622074024024435,1,1,0,0,0,0,0,0,0,0,3
E909955,5TH AVE NE,NE 112TH ST,2019-04-05 12:30:00,-122.32341144153297,47.70958915943923,0,1,0,1,0,0,0,0,0,0,3
3692810,63RD AVE SW,,2017-02-02 08:33:00,-122.4133555097056,47.57575453025384,1,0,0,0,0,0,0,0,0,0,3
3789034,6TH AVE,BELL ST,2018-10-19 06:40:00,-122.34222313862608,47.61667656795846,1,0,0,0,0,0,0,0,0,0,3
3754917,6TH AVE,COLUMBIA ST,2018-11-07 16:35:00,-122.32941808581941,47.60556996390079,1,1,0,0,0,0,0,0,0,0,2
3476719,6TH AVE,MADISON ST,2017-08-21 12:00:00,-122.33072330864299,47.60705537041738,1,1,0,0,0,0,0,0,0,0,3
E860503,6TH AVE,PINE ST,2018-07-13 02:28:00,-122.3354101456778,47.61216248563836,1,0,0,0,0,0,0,0,0,0,3
E837009,6TH AVE,PINE ST,2018-09-10 17:04:00,-122.3354101456778,47.61216248563836,1,1,0,0,0,0,0,0,0,0,3
3812080,6TH AVE,UNION ST,2018-04-25 12:01:00,-122.33356221347465,47.61016880445786,1,1,0,0,0,0,0,0,0,1,1
E921197,6TH AVE NW,BURKE GILMAN TRL,2019-05-14 10:17:00,-122.36362169058013,47.65659201895535,0,1,0,0,0,0,0,0,1,0,3
3769594,6TH AVE NW,NW 85TH ST,2016-09-19 15:20:00,-122.3633255355566,47.69064566642191,1,1,0,0,0,0,0,0,1,0,2
3740349,6TH AVE S,S JACKSON ST,2017-05-02 06:34:00,-122.32637217571438,47.59920680785553,1,1,0,0,0,0,0,0,0,0,3
3643063,6TH AVE S,S SNOQUALMIE ST,2018-07-20 10:41:00,-122.32671603464658,47.56196083748727,1,1,0,0,0,0,0,0,0,0,3
E853004,6TH AVE S,YESLER WAY,2018-10-19 16:43:00,-122.32636885594079,47.60170600966807,1,1,0,0,0,0,0,0,0,0,3
3750928,7TH AVE,,2019-04-08 14:20:00,-122.33667490347074,47.614616652105994,1,1,0,0,0,0,0,0,0,0,1
E835702,7TH AVE,BELL ST,2018-09-04 16:06:00,-122.34148028350138,47.61742528661282,1,1,0,0,0,0,0,0,0,0,2
3811594,7TH AVE,BLANCHARD ST,2019-02-03 01:23:00,-122.3401030562863,47.616612150290514,1,0,0,1,1,0,0,0,0,0,2
E798513,7TH AVE,LENORA ST,2018-05-08 12:21:00,-122.33876083480104,47.61582509804031,1,1,0,0,0,0,0,0,0,0,2
3704059,7TH AVE,PINE ST,2017-07-10 00:25:00,-122.33426092810127,47.612634693027225,1,0,0,1,0,0,0,0,0,0,1
EA59551,7TH AVE NE,,2020-08-25 00:25:00,-122.32082658304827,47.65670507093844,1,0,1,1,0,0,0,0,0,0,2
E775257,7TH AVE S,S MICHIGAN ST,2018-02-14 21:15:00,-122.32503089165,47.5465708457728,0,0,0,1,0,0,0,0,0,0,2
3330781,8TH AVE,,2018-10-10 08:55:00,-122.33374182845988,47.61368211785424,1,1,0,1,0,0,0,0,0,0,3
EA51095,8TH AVE,,2020-07-07 21:39:00,-122.33378842094554,47.613730466415035,1,0,1,0,0,0,0,0,0,0,3
3812090,8TH AVE,,2018-08-07 17:15:00,-122.33240053021088,47.61221020025578,1,1,0,0,0,0,0,0,0,0,3
3795866,8TH AVE,,2019-12-03 15:06:00,-122.33250448624644,47.612327842319296,1,1,0,0,0,0,0,0,0,0,2
E991925,8TH AVE,,2019-12-03 11:45:00,-122.33339381729053,47.61332098862155,1,1,0,0,0,0,0,0,0,0,3
